,Industrials_Fund_Value
2019-12-17,21715.319274902344
2019-12-18,21938.39959716797
2019-12-19,21871.080322265625
2019-12-20,22087.56024169922
2019-12-21,22297.43975830078
2019-12-22,22297.43975830078
2019-12-23,22297.43975830078
2019-12-24,22234.080322265625
2019-12-25,22416.240966796875
2019-12-26,22416.240966796875
2019-12-27,22245.959838867188
2019-12-28,22223.520080566406
2019-12-29,22223.520080566406
2019-12-30,22223.520080566406
2019-12-31,22013.640563964844
2020-01-01,22261.799194335938
2020-01-02,22261.799194335938
2020-01-03,21873.72088623047
2020-01-04,21830.16064453125
2020-01-05,21830.16064453125
2020-01-06,21830.16064453125
2020-01-07,21790.56024169922
2020-01-08,21754.919677734375
2020-01-09,21546.359436035156
2020-01-10,21050.040161132812
2020-01-11,20782.080322265625
2020-01-12,20782.080322265625
2020-01-13,20782.080322265625
2020-01-14,20372.879516601562
2020-01-15,20445.479919433594
2020-01-16,20809.799194335938
2020-01-17,20951.040161132812
2020-01-18,20458.680725097656
2020-01-19,20458.680725097656
2020-01-20,20458.680725097656
2020-01-21,20458.680725097656
2020-01-22,20495.640563964844
2020-01-23,20479.799194335938
2020-01-24,20017.799194335938
2020-01-25,19307.640563964844
2020-01-26,19307.640563964844
2020-01-27,19307.640563964844
2020-01-28,19866.0
2020-01-29,20098.319274902344
2020-01-30,18688.56024169922
2020-01-31,17911.080322265625
2020-02-01,18416.640563964844
2020-02-02,18416.640563964844
2020-02-03,18416.640563964844
2020-02-04,19473.959838867188
2020-02-05,20378.16064453125
2020-02-06,20144.520080566406
2020-02-07,19767.0
2020-02-08,19899.0
2020-02-09,19899.0
2020-02-10,19899.0
2020-02-11,20334.60040283203
2020-02-12,20970.83935546875
2020-02-13,21130.56024169922
2020-02-14,20705.520080566406
2020-02-15,20325.359436035156
2020-02-16,20325.359436035156
2020-02-17,20325.359436035156
2020-02-18,20325.359436035156
2020-02-19,20268.60040283203
2020-02-20,20555.040161132812
2020-02-21,19986.120483398438
2020-02-22,18737.39959716797
2020-02-23,18737.39959716797
2020-02-24,18737.39959716797
2020-02-25,17772.479919433594
2020-02-26,17387.040161132812
2020-02-27,17112.479919433594
2020-02-28,17487.359436035156
2020-02-29,17925.60040283203
2020-03-01,17925.60040283203
2020-03-02,17925.60040283203
2020-03-03,16980.479919433594
2020-03-04,17181.120483398438
2020-03-05,15816.239959716797
2020-03-06,15268.439758300781
2020-03-07,13062.71987915039
2020-03-08,13062.71987915039
2020-03-09,13062.71987915039
2020-03-10,14179.439758300781
2020-03-11,13163.040161132812
2020-03-12,10986.360443115234
2020-03-13,12013.320281982422
2020-03-14,10986.360443115234
