,Consumer_Fund_Value
2020-07-02,2161.43994140625
2020-07-03,2170.56005859375
2020-07-04,2170.56005859375
2020-07-05,2170.56005859375
2020-07-06,2170.56005859375
2020-07-07,2146.56005859375
2020-07-08,2112.0
2020-07-09,2071.6799926757812
2020-07-10,2095.2000732421875
2020-07-11,2118.719970703125
2020-07-12,2118.719970703125
2020-07-13,2118.719970703125
2020-07-14,2163.840087890625
2020-07-15,2214.719970703125
2020-07-16,2265.1199340820312
2020-07-17,2274.2400512695312
2020-07-18,2268.0
2020-07-19,2268.0
2020-07-20,2268.0
2020-07-21,2269.9200439453125
2020-07-22,2272.3200073242188
2020-07-23,2304.4799194335938
2020-07-24,2297.280029296875
2020-07-25,2326.0799560546875
2020-07-26,2326.0799560546875
2020-07-27,2326.0799560546875
2020-07-28,2275.2000732421875
2020-07-29,2303.0399780273438
2020-07-30,2280.0
2020-07-31,2399.5200805664062
2020-08-01,2487.840087890625
2020-08-02,2487.840087890625
2020-08-03,2487.840087890625
2020-08-04,2506.56005859375
2020-08-05,2544.0
2020-08-06,2536.3200073242188
2020-08-07,2580.9600219726562
2020-08-08,2582.8800659179688
2020-08-09,2582.8800659179688
2020-08-10,2582.8800659179688
2020-08-11,2589.1199340820312
2020-08-12,2606.8800659179688
2020-08-13,2610.719970703125
2020-08-14,2608.7999267578125
2020-08-15,2602.0799560546875
2020-08-16,2602.0799560546875
2020-08-17,2602.0799560546875
2020-08-18,2600.6400146484375
2020-08-19,2601.6000366210938
2020-08-20,2597.280029296875
2020-08-21,2524.3200073242188
2020-08-22,2510.8800659179688
2020-08-23,2510.8800659179688
2020-08-24,2510.8800659179688
2020-08-25,2505.6000366210938
2020-08-26,2474.3999633789062
2020-08-27,2469.1199340820312
2020-08-28,2519.0399780273438
2020-08-29,2473.9200439453125
2020-08-30,2473.9200439453125
2020-08-31,2473.9200439453125
2020-09-01,2549.280029296875
2020-09-02,2600.159912109375
2020-09-03,2525.7599487304688
2020-09-04,2546.3999633789062
2020-09-05,2462.3999633789062
2020-09-06,2462.3999633789062
2020-09-07,2462.3999633789062
2020-09-08,2462.3999633789062
2020-09-09,2532.0
2020-09-10,2511.840087890625
2020-09-11,2500.3200073242188
2020-09-12,2522.3999633789062
2020-09-13,2522.3999633789062
2020-09-14,2522.3999633789062
2020-09-15,2474.8800659179688
2020-09-16,2455.6799926757812
2020-09-17,2448.0
2020-09-18,2363.5200805664062
2020-09-19,2307.3599853515625
2020-09-20,2307.3599853515625
2020-09-21,2307.3599853515625
2020-09-22,2307.840087890625
2020-09-23,2277.1199340820312
2020-09-24,2292.0
2020-09-25,2276.6400146484375
2020-09-26,2319.3599853515625
2020-09-27,2319.3599853515625
2020-09-28,2319.3599853515625
2020-09-29,2288.159912109375
2020-09-30,2319.3599853515625
2020-10-01,2368.7999267578125
2020-10-02,2398.56005859375
2020-10-03,2409.1199340820312
2020-10-04,2409.1199340820312
2020-10-05,2409.1199340820312
2020-10-06,2406.2400512695312
2020-10-07,2384.6400146484375
2020-10-08,2403.840087890625
2020-10-09,2370.719970703125
2020-10-10,2350.0799560546875
2020-10-11,2350.0799560546875
2020-10-12,2350.0799560546875
2020-10-13,2394.719970703125
2020-10-14,2407.2000732421875
2020-10-15,2418.2400512695312
2020-10-16,2418.719970703125
2020-10-17,2378.8800659179688
2020-10-18,2378.8800659179688
2020-10-19,2378.8800659179688
2020-10-20,2395.6799926757812
2020-10-21,2382.719970703125
2020-10-22,2398.0799560546875
2020-10-23,2421.1199340820312
2020-10-24,2317.43994140625
2020-10-25,2317.43994140625
2020-10-26,2317.43994140625
2020-10-27,2264.159912109375
2020-10-28,2222.8800659179688
2020-10-29,2245.9200439453125
2020-10-30,2238.2400512695312
2020-10-31,2271.840087890625
2020-11-01,2271.840087890625
2020-11-02,2271.840087890625
2020-11-03,2343.840087890625
2020-11-04,2296.3200073242188
2020-11-05,2401.9200439453125
2020-11-06,2413.9200439453125
2020-11-07,2437.9200439453125
2020-11-08,2437.9200439453125
2020-11-09,2437.9200439453125
2020-11-10,2519.0399780273438
2020-11-11,2528.159912109375
2020-11-12,2527.2000732421875
2020-11-13,2569.9200439453125
2020-11-14,2597.7599487304688
2020-11-15,2597.7599487304688
2020-11-16,2597.7599487304688
2020-11-17,2625.1199340820312
2020-11-18,2567.0399780273438
2020-11-19,2647.2000732421875
2020-11-20,2592.0
2020-11-21,2602.56005859375
2020-11-22,2602.56005859375
2020-11-23,2602.56005859375
2020-11-24,2612.6400146484375
2020-11-25,2589.1199340820312
2020-11-26,2573.7599487304688
2020-11-27,2573.7599487304688
2020-11-28,2544.0
2020-11-29,2544.0
2020-11-30,2544.0
2020-12-01,2643.3599853515625
2020-12-02,2604.4799194335938
2020-12-03,2572.3200073242188
2020-12-04,2631.840087890625
2020-12-05,2601.6000366210938
2020-12-06,2601.6000366210938
2020-12-07,2601.6000366210938
2020-12-08,2567.5200805664062
2020-12-09,2590.56005859375
2020-12-10,2552.6400146484375
2020-12-11,2551.2000732421875
2020-12-12,2539.2000732421875
2020-12-13,2539.2000732421875
2020-12-14,2539.2000732421875
2020-12-15,2603.5200805664062
2020-12-16,2603.5200805664062
2020-12-17,2605.9200439453125
2020-12-18,2595.3599853515625
2020-12-19,2583.840087890625
2020-12-20,2583.840087890625
2020-12-21,2583.840087890625
2020-12-22,2565.6000366210938
2020-12-23,2632.3200073242188
2020-12-24,2671.6799926757812
2020-12-25,2646.2400512695312
2020-12-26,2646.2400512695312
2020-12-27,2646.2400512695312
2020-12-28,2646.2400512695312
2020-12-29,2638.0799560546875
2020-12-30,2695.2000732421875
2020-12-31,2697.1199340820312
2021-01-01,2681.7599487304688
2021-01-02,2681.7599487304688
2021-01-03,2681.7599487304688
2021-01-04,2681.7599487304688
2021-01-05,2679.840087890625
2021-01-06,2711.0399780273438
2021-01-07,2636.159912109375
2021-01-08,2578.56005859375
2021-01-09,2604.9600219726562
2021-01-10,2604.9600219726562
2021-01-11,2604.9600219726562
2021-01-12,2602.0799560546875
2021-01-13,2582.3999633789062
2021-01-14,2580.4799194335938
2021-01-15,2542.0799560546875
2021-01-16,2474.8800659179688
2021-01-17,2474.8800659179688
2021-01-18,2474.8800659179688
2021-01-19,2474.8800659179688
2021-01-20,2519.5200805664062
2021-01-21,2557.9200439453125
2021-01-22,2504.159912109375
2021-01-23,2459.0399780273438
2021-01-24,2459.0399780273438
2021-01-25,2459.0399780273438
2021-01-26,2429.280029296875
2021-01-27,2361.1199340820312
2021-01-28,2379.840087890625
2021-01-29,2369.7599487304688
2021-01-30,2400.9600219726562
2021-01-31,2400.9600219726562
2021-02-01,2400.9600219726562
2021-02-02,2457.1199340820312
2021-02-03,2484.4799194335938
2021-02-04,2513.280029296875
2021-02-05,2748.4799194335938
2021-02-06,2862.2400512695312
2021-02-07,2862.2400512695312
2021-02-08,2862.2400512695312
2021-02-09,2888.6400146484375
2021-02-10,2839.6799926757812
2021-02-11,2787.840087890625
2021-02-12,2835.3599853515625
2021-02-13,2791.2000732421875
2021-02-14,2791.2000732421875
2021-02-15,2791.2000732421875
2021-02-16,2791.2000732421875
2021-02-17,2784.9600219726562
2021-02-18,2727.3599853515625
2021-02-19,2746.0799560546875
2021-02-20,2705.7599487304688
2021-02-21,2705.7599487304688
2021-02-22,2705.7599487304688
2021-02-23,2718.719970703125
2021-02-24,2711.5200805664062
2021-02-25,2693.7599487304688
2021-02-26,2659.2000732421875
2021-02-27,2755.2000732421875
2021-02-28,2755.2000732421875
2021-03-01,2755.2000732421875
2021-03-02,2755.6799926757812
2021-03-03,2796.9600219726562
2021-03-04,2775.840087890625
2021-03-05,2821.9200439453125
2021-03-06,2852.159912109375
2021-03-07,2852.159912109375
2021-03-08,2852.159912109375
2021-03-09,2848.7999267578125
2021-03-10,2894.8800659179688
2021-03-11,2827.2000732421875
2021-03-12,2838.719970703125
2021-03-13,2833.43994140625
2021-03-14,2833.43994140625
2021-03-15,2833.43994140625
2021-03-16,2799.3599853515625
2021-03-17,2816.159912109375
2021-03-18,2815.6799926757812
2021-03-19,2804.159912109375
2021-03-20,2892.0
2021-03-21,2892.0
2021-03-22,2892.0
2021-03-23,2961.1199340820312
2021-03-24,2948.159912109375
2021-03-25,2949.6000366210938
2021-03-26,2976.0
2021-03-27,2995.6799926757812
2021-03-28,2995.6799926757812
2021-03-29,2995.6799926757812
2021-03-30,2975.0399780273438
2021-03-31,2947.2000732421875
2021-04-01,2954.8800659179688
2021-04-02,2995.6799926757812
2021-04-03,2995.6799926757812
2021-04-04,2995.6799926757812
2021-04-05,2995.6799926757812
2021-04-06,3008.159912109375
2021-04-07,2992.7999267578125
2021-04-08,2956.7999267578125
2021-04-09,3019.6799926757812
2021-04-10,3017.280029296875
2021-04-11,3017.280029296875
2021-04-12,3017.280029296875
2021-04-13,2993.280029296875
2021-04-14,2942.3999633789062
2021-04-15,3022.0799560546875
2021-04-16,3014.3999633789062
2021-04-17,3015.840087890625
2021-04-18,3015.840087890625
2021-04-19,3015.840087890625
2021-04-20,3006.719970703125
2021-04-21,3032.6400146484375
2021-04-22,2990.8800659179688
2021-04-23,2999.0399780273438
2021-04-24,2963.0399780273438
2021-04-25,2963.0399780273438
2021-04-26,2963.0399780273438
2021-04-27,2957.280029296875
2021-04-28,2976.0
2021-04-29,3042.719970703125
2021-04-30,3053.7599487304688
2021-05-01,3069.6000366210938
2021-05-02,3069.6000366210938
2021-05-03,3069.6000366210938
2021-05-04,3160.7999267578125
2021-05-05,3180.4801025390625
2021-05-06,3242.400146484375
2021-05-07,3265.43994140625
2021-05-08,3261.599853515625
2021-05-09,3261.599853515625
2021-05-10,3261.599853515625
2021-05-11,3264.0
2021-05-12,3218.8798828125
2021-05-13,3313.43994140625
2021-05-14,3321.1201171875
2021-05-15,3384.0
2021-05-16,3384.0
2021-05-17,3384.0
2021-05-18,3335.0401611328125
2021-05-19,3337.9200439453125
2021-05-20,3342.2398681640625
2021-05-21,3378.719970703125
2021-05-22,3337.9200439453125
2021-05-23,3337.9200439453125
2021-05-24,3337.9200439453125
2021-05-25,3281.7601318359375
2021-05-26,3273.1201171875
2021-05-27,8900.42007446289
2021-05-28,9324.880126953125
2021-05-29,9438.300170898438
2021-05-30,9438.300170898438
2021-05-31,9438.300170898438
2021-06-01,9438.300170898438
2021-06-02,9508.420013427734
2021-06-03,9346.60026550293
2021-06-04,9177.34016418457
2021-06-05,9088.059677124023
2021-06-06,9088.059677124023
2021-06-07,9088.059677124023
2021-06-08,9282.719924926758
2021-06-09,9223.03971862793
2021-06-10,9153.339874267578
2021-06-11,9335.879974365234
2021-06-12,9452.080154418945
2021-06-13,9452.080154418945
2021-06-14,9452.080154418945
2021-06-15,9320.060134887695
2021-06-16,9337.359954833984
2021-06-17,9289.220184326172
2021-06-18,9052.200271606445
2021-06-19,9085.06005859375
2021-06-20,9085.06005859375
2021-06-21,9085.06005859375
2021-06-22,9100.019760131836
2021-06-23,8965.900192260742
2021-06-24,9032.340087890625
2021-06-25,9393.220016479492
2021-06-26,9129.259689331055
2021-06-27,9129.259689331055
2021-06-28,9129.259689331055
2021-06-29,9011.920181274414
2021-06-30,9019.659866333008
2021-07-01,9121.260314941406
2021-07-02,9247.019790649414
2021-07-03,9177.500274658203
2021-07-04,9177.500274658203
2021-07-05,9177.500274658203
2021-07-06,9177.500274658203
2021-07-07,9323.399871826172
