,TMT_Fund_Value
2020-05-01,36485.13153076172
2020-05-02,37377.55923461914
2020-05-03,37377.55923461914
2020-05-04,37377.55923461914
2020-05-05,37778.83885192871
2020-05-06,38150.85859680176
2020-05-07,38372.401275634766
2020-05-08,38598.11846923828
2020-05-09,39028.66114807129
2020-05-10,39028.66114807129
2020-05-11,39028.66114807129
2020-05-12,38144.58885192871
2020-05-13,37567.75
2020-05-14,37730.76974487305
2020-05-15,38280.44076538086
2020-05-16,38646.19076538086
2020-05-17,38646.19076538086
2020-05-18,38646.19076538086
2020-05-19,38378.67102050781
2020-05-20,38802.94076538086
2020-05-21,38336.86846923828
2020-05-22,38353.58885192871
2020-05-23,37948.13153076172
2020-05-24,37948.13153076172
2020-05-25,37948.13153076172
2020-05-26,37948.13153076172
2020-05-27,37998.289489746094
2020-05-28,37912.598724365234
2020-05-29,38299.25
2020-05-30,38211.47038269043
2020-05-31,38211.47038269043
2020-06-01,38211.47038269043
2020-06-02,38646.19076538086
2020-06-03,38740.24012756348
2020-06-04,38230.27961730957
2020-06-05,39124.79936218262
2020-06-06,39367.24012756348
2020-06-07,39367.24012756348
2020-06-08,39367.24012756348
2020-06-09,39668.20063781738
2020-06-10,41139.55923461914
2020-06-11,38930.430892944336
2020-06-12,39237.66114807129
2020-06-13,39488.460510253906
2020-06-14,39488.460510253906
2020-06-15,39488.460510253906
2020-06-16,40456.13153076172
2020-06-17,40596.16114807129
2020-06-18,41030.88153076172
2020-06-19,40786.348724365234
2020-06-20,41919.13153076172
2020-06-21,41919.13153076172
2020-06-22,41919.13153076172
2020-06-23,42199.19076538086
2020-06-24,41348.55923461914
2020-06-25,41871.05923461914
2020-06-26,41032.97038269043
2020-06-27,41473.960510253906
2020-06-28,41473.960510253906
2020-06-29,41473.960510253906
2020-06-30,42533.58885192871
2020-07-01,42782.29936218262
2020-07-02,43108.33885192871
2020-07-03,44036.29936218262
2020-07-04,44036.29936218262
2020-07-05,44036.29936218262
2020-07-06,44036.29936218262
2020-07-07,43524.25
2020-07-08,44481.47038269043
2020-07-09,44792.88153076172
2020-07-10,44657.02961730957
2020-07-11,43277.63153076172
2020-07-12,43277.63153076172
2020-07-13,43277.63153076172
2020-07-14,43545.151275634766
2020-07-15,43480.35859680176
2020-07-16,42619.27961730957
2020-07-17,42401.92102050781
2020-07-18,44224.401275634766
2020-07-19,44224.401275634766
2020-07-20,44224.401275634766
2020-07-21,43628.75
2020-07-22,44255.75
2020-07-23,42330.85859680176
2020-07-24,42071.70063781738
2020-07-25,42604.651275634766
2020-07-26,42604.651275634766
2020-07-27,42604.651275634766
2020-07-28,42222.180892944336
2020-07-29,42648.539489746094
2020-07-30,42615.098724365234
2020-07-31,42847.08885192871
2020-08-01,45256.85859680176
2020-08-02,45256.85859680176
2020-08-03,45256.85859680176
2020-08-04,44577.60859680176
2020-08-05,44504.460510253906
2020-08-06,45217.151275634766
2020-08-07,44408.319107055664
2020-08-08,43524.25
2020-08-09,43524.25
2020-08-10,43524.25
2020-08-11,42506.42102050781
2020-08-12,43720.710510253906
2020-08-13,43618.29936218262
2020-08-14,43660.098724365234
2020-08-15,43948.51974487305
2020-08-16,43948.51974487305
2020-08-17,43948.51974487305
2020-08-18,44201.41114807129
2020-08-19,43827.29936218262
2020-08-20,44847.22038269043
2020-08-21,44521.180892944336
2020-08-22,44661.210510253906
2020-08-23,44661.210510253906
2020-08-24,44661.210510253906
2020-08-25,45242.23025512695
2020-08-26,46220.348724365234
2020-08-27,47355.22038269043
2020-08-28,47842.19076538086
2020-08-29,47135.76974487305
2020-08-30,47135.76974487305
2020-08-31,47135.76974487305
2020-09-01,47499.430892944336
2020-09-02,48414.848724365234
2020-09-03,45415.70063781738
2020-09-04,44778.25
2020-09-05,42355.94076538086
2020-09-06,42355.94076538086
2020-09-07,42355.94076538086
2020-09-08,42355.94076538086
2020-09-09,44159.60859680176
2020-09-10,42922.32897949219
2020-09-11,42642.26974487305
2020-09-12,42930.69076538086
2020-09-13,42930.69076538086
2020-09-14,42930.69076538086
2020-09-15,43635.01974487305
2020-09-16,42855.45063781738
2020-09-17,42408.19076538086
2020-09-18,41881.50987243652
2020-09-19,42330.85859680176
2020-09-20,42330.85859680176
2020-09-21,42330.85859680176
2020-09-22,43350.77961730957
2020-09-23,41923.30923461914
2020-09-24,42466.710510253906
2020-09-25,43434.38153076172
2020-09-26,43772.960510253906
2020-09-27,43772.960510253906
2020-09-28,43772.960510253906
2020-09-29,43317.33885192871
2020-09-30,43958.97038269043
2020-10-01,44404.14140319824
2020-10-02,43093.710510253906
2020-10-03,43969.42102050781
2020-10-04,43969.42102050781
2020-10-05,43969.42102050781
2020-10-06,43035.19076538086
2020-10-07,43854.47038269043
2020-10-08,44011.22038269043
2020-10-09,45104.289489746094
2020-10-10,46272.598724365234
2020-10-11,46272.598724365234
2020-10-12,46272.598724365234
2020-10-13,46577.74012756348
2020-10-14,46159.74012756348
2020-10-15,45908.94076538086
2020-10-16,45908.94076538086
2020-10-17,44771.98025512695
2020-10-18,44771.98025512695
2020-10-19,44771.98025512695
2020-10-20,44861.848724365234
2020-10-21,44893.20063781738
2020-10-22,44912.00987243652
2020-10-23,45192.069107055664
2020-10-24,43906.72038269043
2020-10-25,43906.72038269043
2020-10-26,43906.72038269043
2020-10-27,44569.25
2020-10-28,42360.11846923828
2020-10-29,42786.48025512695
2020-10-30,42316.23025512695
2020-10-31,42286.97038269043
2020-11-01,42286.97038269043
2020-11-02,42286.97038269043
2020-11-03,43143.86846923828
2020-11-04,45225.50987243652
2020-11-05,46667.60859680176
2020-11-06,46757.48025512695
2020-11-07,45643.50987243652
2020-11-08,45643.50987243652
2020-11-09,45643.50987243652
2020-11-10,44101.08885192871
2020-11-11,45258.95063781738
2020-11-12,45026.960510253906
2020-11-13,45250.58885192871
2020-11-14,45401.069107055664
2020-11-15,45401.069107055664
2020-11-16,45401.069107055664
2020-11-17,44822.14140319824
2020-11-18,44115.72038269043
2020-11-19,44395.77961730957
2020-11-20,43971.50987243652
2020-11-21,43912.99012756348
2020-11-22,43912.99012756348
2020-11-23,43912.99012756348
2020-11-24,44696.74012756348
2020-11-25,44698.82897949219
2020-11-26,44983.069107055664
2020-11-27,44983.069107055664
2020-11-28,44740.63153076172
2020-11-29,44740.63153076172
2020-11-30,44740.63153076172
2020-12-01,45187.89140319824
2020-12-02,45012.32897949219
2020-12-03,44776.16114807129
2020-12-04,44801.24012756348
2020-12-05,44786.60859680176
2020-12-06,44786.60859680176
