,Energy_Fund_Value
2019-11-08,12806.760108947754
2019-11-09,12762.589904785156
2019-11-10,12762.589904785156
2019-11-11,12762.589904785156
2019-11-12,12900.989395141602
2019-11-13,13027.250610351562
2019-11-14,12920.410400390625
2019-11-15,13056.140296936035
2019-11-16,13073.140296936035
2019-11-17,13073.140296936035
2019-11-18,13073.140296936035
2019-11-19,12957.230491638184
2019-11-20,13083.030113220215
2019-11-21,13097.29995727539
2019-11-22,13108.650001525879
2019-11-23,13132.959587097168
2019-11-24,13132.959587097168
2019-11-25,13132.959587097168
2019-11-26,13138.219741821289
2019-11-27,13130.92992401123
2019-11-28,13082.360473632812
2019-11-29,13082.360473632812
2019-11-30,13023.530128479004
2019-12-01,13023.530128479004
2019-12-02,13023.530128479004
2019-12-03,13028.610153198242
2019-12-04,13074.790252685547
2019-12-05,13080.870292663574
2019-12-06,13072.169494628906
2019-12-07,13129.68978881836
2019-12-08,13129.68978881836
2019-12-09,13129.68978881836
2019-12-10,13229.13981628418
2019-12-11,13293.15983581543
2019-12-12,13242.720321655273
2019-12-13,13348.68977355957
2019-12-14,13449.569915771484
2019-12-15,13449.569915771484
2019-12-16,13449.569915771484
2019-12-17,13424.359848022461
2019-12-18,13540.069915771484
2019-12-19,13565.390266418457
2019-12-20,13652.390441894531
2019-12-21,13693.129692077637
2019-12-22,13693.129692077637
2019-12-23,13693.129692077637
2019-12-24,13659.949592590332
2019-12-25,13752.00952911377
2019-12-26,13752.00952911377
2019-12-27,13679.859703063965
2019-12-28,13660.04995727539
2019-12-29,13660.04995727539
2019-12-30,13660.04995727539
2019-12-31,13702.289642333984
2020-01-01,13604.609703063965
2020-01-02,13604.609703063965
2020-01-03,13628.77993774414
2020-01-04,13713.45034790039
2020-01-05,13713.45034790039
2020-01-06,13713.45034790039
2020-01-07,13702.590065002441
2020-01-08,13632.449882507324
2020-01-09,13582.210372924805
2020-01-10,13615.029647827148
2020-01-11,13743.109718322754
2020-01-12,13743.109718322754
2020-01-13,13743.109718322754
2020-01-14,13719.610168457031
2020-01-15,13839.470321655273
2020-01-16,13966.839569091797
2020-01-17,14090.749694824219
2020-01-18,14003.73063659668
2020-01-19,14003.73063659668
2020-01-20,14003.73063659668
2020-01-21,14003.73063659668
2020-01-22,13956.64998626709
2020-01-23,14130.129981994629
2020-01-24,13979.479415893555
2020-01-25,13847.219711303711
2020-01-26,13847.219711303711
2020-01-27,13847.219711303711
2020-01-28,14002.010604858398
2020-01-29,13942.539916992188
2020-01-30,14098.240325927734
2020-01-31,14020.170234680176
2020-02-01,13997.380126953125
2020-02-02,13997.380126953125
2020-02-03,13997.380126953125
2020-02-04,13952.160400390625
2020-02-05,14065.800102233887
2020-02-06,14107.249855041504
2020-02-07,13978.569900512695
2020-02-08,13972.28978729248
2020-02-09,13972.28978729248
2020-02-10,13972.28978729248
2020-02-11,14032.380126953125
2020-02-12,14091.220321655273
2020-02-13,14077.900115966797
