,Financial_Fund_Value
2020-11-01,12297.39990234375
2020-11-02,12297.39990234375
2020-11-03,12585.2001953125
2020-11-04,13031.99951171875
2020-11-05,13363.800048828125
2020-11-06,13098.00048828125
2020-11-07,13320.400390625
2020-11-08,13320.400390625
2020-11-09,13320.400390625
2020-11-10,13211.99951171875
2020-11-11,13412.39990234375
2020-11-12,13195.799560546875
2020-11-13,13395.400390625
2020-11-14,13528.599853515625
2020-11-15,13528.599853515625
2020-11-16,13528.599853515625
2020-11-17,13349.7998046875
2020-11-18,13397.80029296875
2020-11-19,13469.599609375
2020-11-20,13454.200439453125
2020-11-21,13657.39990234375
2020-11-22,13657.39990234375
2020-11-23,13657.39990234375
2020-11-24,13985.999755859375
2020-11-25,14072.19970703125
2020-11-26,14302.19970703125
2020-11-27,14302.19970703125
2020-11-28,13966.99951171875
2020-11-29,13966.99951171875
2020-11-30,13966.99951171875
2020-12-01,14304.599609375
2020-12-02,14367.19970703125
2020-12-03,14308.399658203125
2020-12-04,14069.3994140625
2020-12-05,14189.7998046875
2020-12-06,14189.7998046875
2020-12-07,14189.7998046875
2020-12-08,14278.399658203125
2020-12-09,14033.599853515625
2020-12-10,13968.199462890625
2020-12-11,13904.000244140625
2020-12-12,13678.399658203125
2020-12-13,13678.399658203125
2020-12-14,13678.399658203125
2020-12-15,13963.599853515625
2020-12-16,13967.39990234375
2020-12-17,14120.2001953125
2020-12-18,13975.999755859375
2020-12-19,13976.600341796875
2020-12-20,13976.600341796875
2020-12-21,13976.600341796875
2020-12-22,13870.400390625
2020-12-23,14072.80029296875
2020-12-24,14143.599853515625
2020-12-25,14203.599853515625
2020-12-26,14203.599853515625
2020-12-27,14203.599853515625
2020-12-28,14203.599853515625
2020-12-29,14125.6005859375
2020-12-30,14178.800048828125
2020-12-31,14430.799560546875
2021-01-01,14216.400146484375
2021-01-02,14216.400146484375
2021-01-03,14216.400146484375
2021-01-04,14216.400146484375
2021-01-05,14291.600341796875
2021-01-06,14699.200439453125
2021-01-07,15008.399658203125
2021-01-08,15129.000244140625
2021-01-09,15333.599853515625
2021-01-10,15333.599853515625
2021-01-11,15333.599853515625
2021-01-12,15554.7998046875
2021-01-13,15595.0
2021-01-14,14870.0
2021-01-15,14555.2001953125
2021-01-16,14673.00048828125
2021-01-17,14673.00048828125
2021-01-18,14673.00048828125
2021-01-19,14673.00048828125
2021-01-20,14830.799560546875
2021-01-21,14844.000244140625
2021-01-22,14700.999755859375
2021-01-23,14459.599609375
2021-01-24,14459.599609375
2021-01-25,14459.599609375
2021-01-26,14436.99951171875
2021-01-27,13955.799560546875
2021-01-28,14398.199462890625
2021-01-29,14025.2001953125
2021-01-30,14263.399658203125
2021-01-31,14263.399658203125
2021-02-01,14263.399658203125
2021-02-02,14590.0
2021-02-03,14481.600341796875
2021-02-04,14649.000244140625
2021-02-05,14526.600341796875
2021-02-06,14529.000244140625
2021-02-07,14529.000244140625
2021-02-08,14529.000244140625
2021-02-09,14575.999755859375
2021-02-10,14463.399658203125
2021-02-11,14428.599853515625
2021-02-12,14459.599609375
2021-02-13,14606.199951171875
2021-02-14,14606.199951171875
2021-02-15,14606.199951171875
2021-02-16,14606.199951171875
2021-02-17,14427.80029296875
2021-02-18,14070.6005859375
2021-02-19,14202.19970703125
2021-02-20,14062.80029296875
2021-02-21,14062.80029296875
2021-02-22,14062.80029296875
2021-02-23,14063.199462890625
2021-02-24,14241.99951171875
2021-02-25,13895.799560546875
2021-02-26,13890.0
2021-02-27,14384.000244140625
2021-02-28,14384.000244140625
2021-03-01,14384.000244140625
2021-03-02,14326.199951171875
2021-03-03,14029.7998046875
2021-03-04,13664.200439453125
2021-03-05,14045.6005859375
2021-03-06,13979.200439453125
2021-03-07,13979.200439453125
2021-03-08,13979.200439453125
2021-03-09,14440.0
2021-03-10,14570.0
2021-03-11,14442.39990234375
2021-03-12,14323.800048828125
2021-03-13,14380.2001953125
2021-03-14,14380.2001953125
2021-03-15,14380.2001953125
2021-03-16,14461.400146484375
2021-03-17,14564.3994140625
2021-03-18,14474.599609375
2021-03-19,14592.80029296875
2021-03-20,14618.399658203125
2021-03-21,14618.399658203125
2021-03-22,14618.399658203125
2021-03-23,14331.400146484375
2021-03-24,14455.0
2021-03-25,14550.0
2021-03-26,15138.00048828125
2021-03-27,15157.19970703125
2021-03-28,15157.19970703125
2021-03-29,15157.19970703125
2021-03-30,14985.2001953125
2021-03-31,15079.200439453125
2021-04-01,15336.600341796875
2021-04-02,15680.400390625
2021-04-03,15680.400390625
2021-04-04,15680.400390625
2021-04-05,15680.400390625
2021-04-06,15634.200439453125
2021-04-07,15760.0
2021-04-08,16011.99951171875
2021-04-09,16166.99951171875
2021-04-10,16159.599609375
2021-04-11,16159.599609375
2021-04-12,16159.599609375
2021-04-13,16049.7998046875
2021-04-14,16021.400146484375
2021-04-15,16356.800537109375
2021-04-16,16229.000244140625
2021-04-17,16221.800537109375
2021-04-18,16221.800537109375
2021-04-19,16221.800537109375
2021-04-20,16099.200439453125
2021-04-21,16230.6005859375
2021-04-22,15906.400146484375
2021-04-23,16263.399658203125
2021-04-24,16366.400146484375
2021-04-25,16366.400146484375
2021-04-26,16366.400146484375
2021-04-27,16410.2001953125
2021-04-28,16325.6005859375
2021-04-29,16546.400146484375
2021-04-30,16385.999755859375
2021-05-01,16512.39990234375
2021-05-02,16512.39990234375
2021-05-03,16512.39990234375
2021-05-04,16728.599853515625
2021-05-05,17020.2001953125
2021-05-06,17341.99951171875
2021-05-07,17476.600341796875
2021-05-08,17149.000244140625
2021-05-09,17149.000244140625
2021-05-10,17149.000244140625
2021-05-11,16881.99951171875
2021-05-12,16470.0
2021-05-13,16779.7998046875
2021-05-14,17137.39990234375
2021-05-15,16989.200439453125
2021-05-16,16989.200439453125
2021-05-17,16989.200439453125
2021-05-18,16802.80029296875
2021-05-19,16770.400390625
2021-05-20,16897.60009765625
2021-05-21,17215.400390625
2021-05-22,17447.19970703125
2021-05-23,17447.19970703125
2021-05-24,17447.19970703125
2021-05-25,17485.400390625
2021-05-26,17534.599609375
2021-05-27,17528.599853515625
2021-05-28,17540.799560546875
2021-05-29,17538.199462890625
2021-05-30,17538.199462890625
2021-05-31,17538.199462890625
2021-06-01,17538.199462890625
2021-06-02,17748.399658203125
2021-06-03,17620.2001953125
2021-06-04,17736.99951171875
2021-06-05,17699.200439453125
2021-06-06,17699.200439453125
2021-06-07,17699.200439453125
2021-06-08,17690.400390625
2021-06-09,17418.800048828125
2021-06-10,17348.800048828125
2021-06-11,17613.199462890625
2021-06-12,17535.6005859375
2021-06-13,17535.6005859375
2021-06-14,17535.6005859375
2021-06-15,17620.2001953125
2021-06-16,17386.99951171875
2021-06-17,17376.400146484375
2021-06-18,16815.6005859375
2021-06-19,17225.2001953125
2021-06-20,17225.2001953125
2021-06-21,17225.2001953125
2021-06-22,17295.2001953125
2021-06-23,17308.399658203125
2021-06-24,17346.800537109375
2021-06-25,17480.6005859375
2021-06-26,17574.7998046875
2021-06-27,17574.7998046875
2021-06-28,17574.7998046875
2021-06-29,17470.6005859375
2021-06-30,17499.3994140625
2021-07-01,17584.599609375
2021-07-02,17872.60009765625
2021-07-03,17853.599853515625
2021-07-04,17853.599853515625
2021-07-05,17853.599853515625
2021-07-06,17853.599853515625
2021-07-07,18018.800048828125
2021-07-08,17530.0
2021-07-09,18026.199951171875
2021-07-10,18318.399658203125
2021-07-11,18318.399658203125
2021-07-12,18318.399658203125
2021-07-13,18161.400146484375
2021-07-14,17606.400146484375
2021-07-15,17600.0
2021-07-16,17500.400390625
2021-07-17,16903.199462890625
2021-07-18,16903.199462890625
2021-07-19,16903.199462890625
2021-07-20,17576.800537109375
2021-07-21,17653.599853515625
2021-07-22,17337.19970703125
2021-07-23,17379.000244140625
2021-07-24,17429.7998046875
2021-07-25,17429.7998046875
2021-07-26,17429.7998046875
2021-07-27,17237.60009765625
2021-07-28,17214.200439453125
2021-07-29,17387.80029296875
2021-07-30,17343.399658203125
2021-07-31,17465.2001953125
2021-08-01,17465.2001953125
2021-08-02,17465.2001953125
2021-08-03,17604.200439453125
2021-08-04,17640.2001953125
2021-08-05,17785.6005859375
2021-08-06,17921.800537109375
2021-08-07,18039.3994140625
2021-08-08,18039.3994140625
2021-08-09,18039.3994140625
2021-08-10,18251.199951171875
2021-08-11,18341.800537109375
2021-08-12,18370.799560546875
2021-08-13,18337.19970703125
2021-08-14,18497.80029296875
2021-08-15,18497.80029296875
2021-08-16,18497.80029296875
2021-08-17,18192.39990234375
2021-08-18,18038.199462890625
2021-08-19,18075.6005859375
2021-08-20,18343.399658203125
2021-08-21,18557.19970703125
2021-08-22,18557.19970703125
2021-08-23,18557.19970703125
2021-08-24,18583.800048828125
2021-08-25,18790.400390625
2021-08-26,18717.60009765625
2021-08-27,19098.800048828125
2021-08-28,18961.600341796875
2021-08-29,18961.600341796875
